ServiceId,ServiceSKU,ServiceName,ServiceUrl,ShortDescription,LongDescription,Currency,ImageUrl,CountryId,ContentText,SectionName,ContentType,ContentVariation
13,8 -20099704,8 Point Liquid Face Lift,8-point-facelift,"Want a lifted, youthful appearance without surgery? Expert offers an 8-point liquid face lift. ",NULL,£,https://expertall.blob.core.windows.net/expert/live/serviceinventory/1_114.jpg,188,"<p>The long-lasting hyaluronic acid-based dermal filler is injected into specific regions to lower the depth of the skin crease. The targeted areas are those lacking volume. Each point is connected to the others, resulting in a better overall look. The eight points targeted are: cheek bone/structure (1 and 2), tear troughs, nasolabial fold, mouth corners, pre-jowl folds, jawline areas and lower cheeks. You can opt for 4ml, 6ml or 8m Juvaderm filler, depending on the amount of work that needs doing. As skin elasticity is lowered, our facial structure starts to transform and gravity comes into play. This can lead to premature ageing, in particular around the eyes and cheeks. The greatest signs of ageing occur because of skeletal remodelling, volume loss and re-positioning of facial fat. This procedure brings back symmetry, volume and proportion to the face. Advanced dermal fillers are used to lift the tissues and structure of the face for a younger-looking profile. The procedure works so well because it targets an overall rejuvenation of the whole face, as opposed to certain areas.</p>",Text-Image-Cards,Text,Paragraph
13,8 -20099704,8 Point Liquid Face Lift,8-point-facelift,"Want a lifted, youthful appearance without surgery? Expert offers an 8-point liquid face lift. ",NULL,£,https://expertall.blob.core.windows.net/expert/live/serviceinventory/1_114.jpg,188,Before and After,Image,Text,Paragraph
13,8 -20099704,8 Point Liquid Face Lift,8-point-facelift,"Want a lifted, youthful appearance without surgery? Expert offers an 8-point liquid face lift. ",NULL,£,https://expertall.blob.core.windows.net/expert/live/serviceinventory/1_114.jpg,188,Before and After,Image,Text,Paragraph
13,8 -20099704,8 Point Liquid Face Lift,8-point-facelift,"Want a lifted, youthful appearance without surgery? Expert offers an 8-point liquid face lift. ",NULL,£,https://expertall.blob.core.windows.net/expert/live/serviceinventory/1_114.jpg,188,"<p>The 8 Point Liquid Facelift provides the ultimate non-surgical rejuvenation, using strategically placed dermal fillers to lift, contour, and refresh key areas of the face. This advanced treatment restores volume, softens lines, and redefines facial structure, resulting in a naturally lifted, youthful appearance with no downtime. Book on Expert. one to find trusted aesthetic doctors who specialize in this artistry and can deliver results that enhance your beauty from all angles.</p>",Image-Text,Text,Paragraph
192,A -79118275,A Level Tution,A Level Tution,NULL,NULL,£,https://1864597015.rsc.cdn77.org/expertmicro/Tutors/A%20Level%20Tution.jpg,188,"<p>A person’s academic journey can be challenging, and it’s always better not to compromise on education. On the other hand, the cost of tuition is important. We all have a financial limit. With this in mind, we offer plenty of fantastic budget-friendly packages, including courses of 1 to 2 sessions a week.    If you need a bespoke tutoring plan, you can opt for our free consultation session so we can best match your requirements. You can even book a number of tutors or online sessions for a single week. </p><p>   <strong>How our tutors can help you</strong></p><p>   We have noticed that some students who are perfectly capable in certain subjects lose marks due to how they word their answers. This is one area that our tutors specialise in. &nbsp; &nbsp; </p><p>They have strong educational backgrounds and come with years of experience. Our experts have built up a familiarity with past papers and can answer any queries that you might have along the way.  &nbsp;</p><p> <strong>Why are we different from others?</strong> </p><p>  Expert allows you or your parents to have a free consultation with our tutors. You can hire our experts for as long as you like, whenever you like. You can book many subjects at a time through us. We offer a reliable and professional service with the best A-level tutors in the industry.  &nbsp; </p><p><strong>Why choose Expert?</strong> </p><p>  Just tell us what you need and we will find the right person for the job. If you wish to swap tutors at any point this is not a problem. We provide a service that is tailored to your specific needs, in order to increase your chance of exam success.  &nbsp; Expert has assembled a team of industry leaders, with a dedication to delivering the highest levels of customer service. The booking process is straightforward – just tell us what you require and we will find the right person for the job. It is the most reliable service in the industry and we aim to improve your teenager’s quality of life by offering it.   Why wait? Book now.</p>",Text-Image,Text,Paragraph
192,A -79118275,A Level Tution,A Level Tution,NULL,NULL,£,https://1864597015.rsc.cdn77.org/expertmicro/Tutors/A%20Level%20Tution.jpg,188,"<p>In the digital age, it makes perfect sense to order a tutor for your home or to make use of teaching services online. However, some people are still wary about the quality of service they might receive. There is really no need. Expert offers the most trusted service in the business. </p><p>  We know that supplementing your teenager’s education can be of central importance to their development. The process is as simple as clicking on a button and telling us what you need. Our expert team of professionals are trained in specific subjects, including Mathematics, English, Physics, Chemistry and Biology.  &nbsp; </p><p>Expert&nbsp;collaborates with you to select the right tutor for your teenager’s educational needs. All of these professionals boast an excellent academic standing. By using a tailored approach, our experienced tutors help your teenager to develop a learning strategy that strengthens their chances of success.    All of our tutors have been carefully selected and have been given additional training due to the nature of the work, with all relevant checks passed. Our services are backed by a 100% customer satisfaction guarantee. If you are ever unhappy with the service provided, get in contact and we’ll sort out the problem immediately. </p><p>  There are many advantages to receiving at-home or online tutoring. For one, there are no distractions and interferences from other pupils. Additionally, it allows for the teaching to be done from the comfort and safety of your own home, on your terms.</p>",Image-Text,Text,Paragraph
75,Ac-62406463,Acne Peel,acne-peel,NULL,NULL,£,https://1864597015.rsc.cdn77.org/expertmicro/Services/Acne%20peel.png,188,"<p>The skin is treated with an acne cleanser and a peel prep is applied to remove any dirt and debris. The acne peel is activated in a layer system and removed afterwards. A calming mask is applied to the skin and the treatment is finished with the application of acne products. Your aesthetician will advise you on these homecare products. Suffering from acne is an absolute nightmare and most of the time it’s down to those annoying hormones. Sometimes diet, products, sleep and stress can make the acne more aggressive, but most of the time, whatever you do, the acne just won’t go away. Acne really ruins your skin and if you don’t take control of it, it can leave permanent pitted scars. Take control of acne and start your course of skin peels today.</p>",Text-Image-Cards,Text,Paragraph
75,Ac-62406463,Acne Peel,acne-peel,NULL,NULL,£,https://1864597015.rsc.cdn77.org/expertmicro/Services/Acne%20peel.png,188,"<p>This is a unique layered peel that rapidly improves acne, reduces breakouts and lessens acne scarring. The peel uses salicylic acid, which rapidly brings acne under control. We use a tailored prescriptive and specialist peel programme that utilises a combination of skin peels and advanced skin care products. The peel dramatically reduces bacteria, blackheads, whiteheads, active spots, blocked pores and skin pigmentation. We combine LED Blue Light Therapy to kill the bacteria in the skin and further enhance the results of the peel. <br></p>",Image-Text,Text,Paragraph
143,Ac-86364758,Acupuncture Therapy,Acupuncture-Therapy,NULL,NULL,£,https://1864597015.rsc.cdn77.org/expertmicro/Wellness/Acupuncture%20Therapy/Acupuncture%20Therapy.jpg,188,"<p>This is a proven alternative treatment to treat stress and depression leaving you feeling more rejuvenated and positive. <br><br><strong>Neurological ailments:</strong> Nerve pain, headaches, and migraines can leave you feeling less productive. The simple acupuncture treatment offers results and gives you instant relief. <br><br><strong>Respiratory ailments:</strong> Allergies, asthma and disorders of the throat, nose, and ears can be treated with acupuncture. <br><br><strong>Digestive problems:</strong> Diarrhoea, constipation and indigestion can cause a real pain in your day to day life. Accupuncture can provide you with instant relief. <br><br><strong>Physical injuries:</strong> Acute sprains and chronic pain can be dealt with immediately with acupuncture treatments. Our specialists will ensure that you are treated properly and give you the quickest healing so you can get back to your daily life. <br><br><strong>Musculoskeletal pain:</strong> Arthritis, back pain, sciatica and fibromyalgia can restrict movement and cause constant. If you have tried medications or steroid injections without relief then why not give acupuncture a try.</p><p><br>Acupuncture therapy can also be effective for: smoking cessation, relief of symptoms related to cancer treatments, chronic disease management, infertility, PMS, and a number of other chronic conditions. <br></p><p><strong>How it works</strong></p><p><br>Acupuncture is a relaxing, safe treatment that stimulates the natural healing power of your body and improves its functions. The treatment involves sticking very thin needles into specific points on your body. This helps your nervous system to release natural chemicals in your brain, spinal cord and muscles. This will also release or trigger the release of hormones to influence your body’s own regulatory system. <br></p><p><strong>Is the treatment suitable for me?</strong></p><p><br>The treatment is suitable for people suffering from a range of conditions. Those with a bleeding disorder or those who are on anticoagulants should speak with our expert prior to undergoing the treatment.</p><p><br><strong>How many sessions do I need?</strong></p><p><br>We’ll be able to assess the timeline for results once we meet you in person. Depending on your specific condition, acupuncture therapy sessions may take 45 to 60 minutes. The number of sessions required will depend on the problem you have. Normally, you will see some benefits after just one session. Repeated treatment may be needed to experience the maximum effects.</p><p><br><strong>Is there any downtime?</strong></p><p><br>Acupuncture treatment generally has minimal side effects. These can include minor bruising and itching or redness where the needles were inserted. All of these will disappear after a few days. <br></p><p><strong>Results</strong></p><p><br>Improvement in the body’s normal functions.  Acupuncture Therapy will improve the function of your digestive, respiratory and other systems. You may also notice that you experience diarrhoea or an upset stomach less frequently, or find that you can breathe a little easier. <br>You may feel that the pain you’re experiencing doesn’t last as long and does not occur as regularly after the treatment. With regular sessions you should experience relief of pain. <br>Staying or falling asleep will be less of a problem when you have acupuncture therapy. It is better to schedule your visit for later in the day if you have been suffering from insomnia. <br>After the treatment, one of the first positive affects you will feel is changes in your stress levels. The treatment is highly effective in reducing stress, anxiety and depression. <br>You will feel energised and well rested after a good night’s sleep. It will be a little easier for you to concentrate at school or at work. <br></p><p><strong>Why choose Expert?</strong></p><p><br>At Expert, our highly-trained and vetted team of professionals focus on specific areas of healing and wellness. They believe each of their patients deserves special care, and they try to help you attain maximum levels of mental and physical wellbeing. <br>Expert’s acupuncturists treat their patients with compassion, respect and kindness. So why not book your free consultation session today to discuss your health needs with one of our qualified experts? <br><br></p>",Text-Image,Text,Paragraph
143,Ac-86364758,Acupuncture Therapy,Acupuncture-Therapy,NULL,NULL,£,https://1864597015.rsc.cdn77.org/expertmicro/Wellness/Acupuncture%20Therapy/Acupuncture%20Therapy.jpg,188,"<p>Looking for a proven alternative method of treatment to meet your health needs? Expert’s qualified specialists offer acupuncture therapy sessions to ease a number of conditions. Through compassionate care, quality treatment and comprehensive consultation, our professionals will help you to experience a renewed, restored and balanced sense of vitality. <br>Our acupuncturist will guide you through this well-researched and ancient method of treatment.  The sessions will promote natural healing in your body and treat a number of conditions. </p>",Image-Text,Text,Paragraph
